,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
0,0,Airtel Payments Bank Apps,14.7,11172.43
1,1,Allahabad Bank App,0.02,5.21
2,2,Amazon Pay,49.12,4272.47
3,3,AU Small Finance Bank App,0.04,20.23
4,4,Axis Bank Apps,80.52,747.46
5,5,Bajaj Finserv,0.01,0.96
6,6,Bank of Baroda Apps,0.56,238.5
7,7,Bank of India App,0.01,2.11
8,8,Bank of Maharashtra App,0.02,6.05
9,9,BHIM,22.26,6886.78
10,10,Canara Bank App,0.09,43.87
11,11,Central Bank of India App,0.11,41.58
12,12,Citi Bank App,0.08,68.17
13,13,Cointab,0.11,40.84
14,14,Cred,5.08,5419.88
15,15,DBS Digibank App,0.54,164.93
16,16,Dena Bank App,0.02,22.37
17,17,Deutsche Bank App,0.43,43.58
18,18,Federal Bank App,0.19,39.57
19,19,Fino Payments bank App,0.01,1.18
20,20,Google Pay,905.96,190106.71
21,21,HDFC Bank Apps,1.42,243.86
22,22,HSBC Bank App,0.07,40.03
23,23,ICICI Bank Apps,14.37,3827.95
24,24,IDBI Bank App,0.02,9.59
25,25,IDFC Bank App,0.15,65.23
26,26,India Post Payments Bank App,1.32,174.08
27,27,Indian Bank App,0.06,24.13
28,28,IndusInd Bank App,4.2,654.49
29,29,Jio Payments Bank App,0.57,35.43
30,30,Karnataka Bank App,0.12,21.13
31,31,Karur Vysya Bank App,0.03,13.08
32,32,Kotak Mahindra Bank Apps,2.13,381.37
33,33,MakeMy Trip,0.08,26.08
34,34,MI Pay,0.38,58.08
35,35,Mobikwik,2.09,254.32
36,36,Paytm Payments Bank App,372.7,41469.53
37,37,PhonePe,1189.89,234023.33
38,38,Punjab National Bank App,0.12,63.07
39,39,RBL Bank App,0.13,58.08
40,40,Samsung Pay,1.62,312.93
41,41,South Indian Bank App,0.07,23.53
42,42,Standard Chartered Bank App,0.06,33.32
43,43,State Bank of India Apps,4.14,2359.08
44,44,UCO Bank App,0.07,16.17
45,45,Ultracash,1.49,178.72
46,46,Union Bank Apps,0.34,135.79
47,47,WhatsApp,0.54,47.62
48,48,Yes Bank Apps,22.81,5120.17
49,49,YuvaPay,1.59,51.22
50,50,Other Apps,0.03,13.88
51,51,Total April 2021,2702.49,509080.17
52,1,Airtel Payments Bank Apps,5.3,460.9
53,2,Amazon Pay,73.21,6699.57
54,3,AU Small Finance Bank Apps,0.32,109.89
55,4,Axis Bank Apps,64.03,1257.15
56,5,Bajaj Finserv,0.52,38.61
57,6,Bank of Baroda Apps,0.77,344.65
58,7,Bank of India Apps,0.1,32.62
59,8,Bank of Maharashtra Apps,0.05,14.56
60,9,BHIM,25.69,8354.34
61,10,Canara Bank Apps,0.31,110.31
62,11,Central Bank of India Apps,0.13,51.04
63,12,Citi Bank Apps,0.08,66.03
64,13,City Union Bank Apps,0.03,8.41
65,14,Cointab,0.07,28.5
66,15,Cred,13.05,16372.92
67,16,DBS Digibank Apps,0.47,175.45
68,17,Deutsche Bank Apps,1.51,128.43
69,18,Dhanlaxmi Bank Apps,0.01,3.02
70,19,Fave,0.18,7.73
71,20,Federal Bank Apps,2.7,375.64
72,21,Fino Payments bank Apps,0.04,3.26
73,22,Finserv Markets,0.01,1.06
74,23,Finshell Pay,0.08,4.45
75,24,GoIbibo,0.01,3.31
76,25,Google Pay,1914.77,344791.35
77,26,Groww,0.61,376.18
78,27,HDFC Bank Apps,5.9,1759.12
79,28,HSBC Bank Apps,0.11,59.72
80,29,ICICI Bank Apps,37.65,9356.17
81,30,IDBI Bank Apps,0.03,16.78
82,31,IDFC Bank Apps,2.49,532.69
83,32,India Post Payments Bank Apps,2.8,328.53
84,33,Indian Bank Apps,0.14,49.9
85,34,Indian Overseas Bank Apps,0.01,1.52
86,35,IndusInd Bank Apps,1.02,2596.71
87,36,Janata Sahakari Bank Apps,0.01,4.28
88,37,Jio Payments Bank Apps,2.1,126.25
89,38,Jupiter,1.47,186.13
90,39,Jupiter Edge (LivQuick PPI App),0.01,0.43
91,40,Karnataka Bank Apps,0.27,35.58
92,41,Karur Vysya Bank Apps,0.04,18.54
93,42,Kotak Mahindra Bank Apps,7.96,1684.35
94,43,MakeMyTrip,0.09,41.18
95,44,MI Pay,0.19,28.58
96,45,Mobikwik,2.37,421.47
97,46,NSDL Payments Bank Apps,0.02,2.32
98,47,Paytm Payments Bank App,851.61,101649.06
99,48,PhonePe,2616.26,486557.03
100,49,Punjab National Bank Apps,0.09,46.27
101,50,Punjab Sind Bank Apps,0.01,5.38
102,51,RBL Bank Apps,0.3,113.65
103,52,Samsung Pay,3.81,470.11
104,53,South Indian Bank Apps,0.13,45.03
105,54,Standard Chartered Bank Apps,0.12,68.15
106,55,State Bank of India Apps,4.03,2118.0
107,56,SuperPay,0.02,0.4
108,57,Tamilnad Mercantile Bank Apps,0.01,0.26
109,58,TataNeu,0.35,32.82
110,59,UCO Bank Apps,0.21,41.48
111,60,Ultracash,0.03,2.22
112,61,Union Bank Apps,0.42,198.34
113,62,Utkarsh Small Finance Bank Apps,0.01,3.88
114,63,WhatsApp,2.5,242.4
115,64,Yes Bank Apps,34.07,10246.99
116,65,YuvaPay,0.06,103.34
117,66,Others,0.02,8.26
118,67,Total April 2022,5682.79,999022.7
119,0,Airtel Payments Bank Apps,9.04,640.22
120,1,Allahabad Bank Apps,0.03,8.96
121,2,Amazon Pay,53.44,5351.07
122,3,AU Small Finance Bank Apps,0.63,184.93
123,4,Axis Bank Apps,51.74,1869.89
124,5,Bajaj Finserv,7.68,1053.08
125,6,Bandhan Bank Apps,0.01,1.44
126,7,Bank of Baroda Apps,1.06,392.74
127,8,Bank of India Apps,0.22,66.93
128,9,Bank of Maharashtra Apps,0.06,19.83
129,10,BHIM,23.77,7368.61
130,11,BPAYWALLET,0.05,9.91
131,12,Canara Bank Apps,1.4,383.46
132,13,Central Bank of India Apps,0.41,91.27
133,14,Citi Bank Apps,0.1,58.17
134,15,City Union Bank Apps,0.06,18.31
135,16,Cointab,0.02,10.61
136,17,Cred,45.7,20729.56
137,18,DBS Digibank Apps,0.41,173.13
138,19,Deutsche Bank Apps,1.65,143.66
139,20,DHANI,0.08,9.21
140,21,Dhanlaxmi Bank Apps,0.01,2.8
141,22,Equitas Small Finance Bank Apps,0.02,13.86
142,23,FAM,11.78,146.58
143,24,Fave,0.03,3.27
144,25,Federal Bank Apps,5.18,624.64
145,26,Fino Payments bank Apps,0.08,5.67
146,27,Google Pay,3109.24,474049.9
147,28,Groww,0.11,80.85
148,29,HDFC Bank Apps,14.48,3701.81
149,30,HSBC Bank Apps,0.14,90.13
150,31,ICICI Bank Apps,41.98,16704.57
151,32,IDBI Bank Apps,0.07,32.02
152,33,IDFC Bank Apps,12.66,2865.32
153,34,India Post Payments Bank Apps,5.24,746.48
154,35,Indian Bank Apps,0.27,86.37
155,36,Indian Overseas Bank Apps,0.03,7.76
156,37,IndusInd Bank Apps,0.8,877.27
157,38,Jio Payments Bank Apps,1.49,112.21
158,39,Jupiter,2.72,380.27
159,40,Akudo & Muvin (Livquik),0.11,4.25
160,41,Karnataka Bank Apps,0.51,110.35
161,42,Karur Vysya Bank Apps,0.04,14.19
162,43,Kotak Mahindra Bank Apps,13.98,2845.65
163,44,MakeMyTrip,0.02,12.91
164,45,Mobikwik,3.48,923.59
165,46,NSDL Payments Bank Apps,0.02,3.42
166,47,OMNI,0.26,6.74
167,48,Paytm Payments Bank App,1299.25,155711.73
168,49,PhonePe,4216.99,710178.44
169,50,PINELABS,0.02,1.31
170,51,Punjab National Bank Apps,1.03,148.28
171,52,Punjab Sind Bank Apps,0.04,14.04
172,53,RBL Bank Apps,1.66,492.33
173,54,Samsung Pay,5.67,511.04
174,55,Slash,0.01,0.32
175,56,slice,0.66,170.62
176,57,South Indian Bank Apps,0.22,63.81
177,58,Standard Chartered Bank Apps,0.16,94.22
178,59,State Bank of India Apps,4.09,1910.15
179,60,Tamilnad Mercantile Bank Apps,0.06,13.15
180,61,TataNeu,0.15,16.46
181,62,UCO Bank Apps,0.34,111.87
182,63,Ultracash,0.03,2.1
183,64,Union Bank Apps,0.74,301.17
184,65,Utkarsh Small Finance Bank Apps,0.02,6.43
185,66,WhatsApp,14.83,1319.01
186,67,Yes Bank Apps,35.33,12454.98
187,68,Others,0.03,8.54
188,69,Total April 2023,9003.64,1426567.87
189,0,Airtel Payments Bank Apps,9.31,2941.88
190,1,Allahabad Bank App,0.01,4.44
191,2,Amazon Pay,60.67,5297.16
192,3,AU Small Finance Bank App,0.1,38.53
193,4,Axis Bank Apps,87.49,959.73
194,5,Bajaj Finserv,0.04,2.85
195,6,Bank of Baroda Apps,0.75,302.06
196,7,Bank of India App,0.03,10.31
197,8,Bank of Maharashtra App,0.04,7.76
198,9,BHIM,26.33,8063.93
199,10,Canara Bank App,0.14,56.23
200,11,Central Bank of India App,0.13,47.83
201,12,Citi Bank App,0.09,72.04
202,13,City Union Bank App,0.01,2.73
203,14,Cointab,0.28,63.77
204,15,Cred,7.5,9040.43
205,16,DBS Digibank App,0.57,187.52
206,17,Dena Bank App,0.02,23.12
207,18,Deutsche Bank App,0.73,81.74
208,19,Federal Bank App,0.35,74.71
209,20,Fino Payments bank App,0.02,1.38
210,21,Google Pay,1243.75,244453.05
211,22,HDFC Bank Apps,3.1,676.72
212,23,HSBC Bank App,0.07,39.24
213,24,ICICI Bank Apps,19.81,5621.27
214,25,IDBI Bank App,0.03,11.26
215,26,IDFC Bank App,0.4,155.19
216,27,India Post Payments Bank App,2.0,255.16
217,28,Indian Bank App,0.08,34.46
218,29,IndusInd Bank App,0.52,570.21
219,30,Janta Sahakari Bank App,0.01,4.8
220,31,Jio Payments Bank App,1.06,68.16
221,32,Jupiter Money,0.07,17.36
222,33,Karnataka Bank App,0.12,15.38
223,34,Karur Vysya Bank App,0.03,15.25
224,35,Kotak Mahindra Bank Apps,3.98,723.21
225,36,MakeMy Trip,0.08,25.28
226,37,MI Pay,0.34,50.26
227,38,Mobikwik,2.59,418.04
228,39,NSDL Payments Bank App,0.01,0.85
229,40,Paytm Payments Bank App,498.65,56319.62
230,41,PhonePe,1622.95,301644.8
231,42,Punjab National Bank App,0.04,15.28
232,43,Punjab Sindh Bank App,0.01,2.53
233,44,RBL Bank App,0.16,70.24
234,45,RealMe,0.01,0.41
235,46,Samsung Pay,2.25,372.08
236,47,South Indian Bank App,0.09,31.69
237,48,Standard Chartered Bank App,0.08,45.31
238,49,State Bank of India Apps,3.69,1905.52
239,50,UCO Bank App,0.09,21.64
240,51,Ultracash,1.66,161.92
241,52,Union Bank Apps,0.37,150.94
242,53,WhatsApp,0.5,44.7
243,54,Yes Bank Apps,24.35,5702.87
244,55,YuvaPay,0.02,19.01
245,56,Other Apps,0.02,10.41
246,57,Total August 2021,3627.6,646954.27
247,0,Airtel Payments Bank Apps,7.96,608.5
248,1,Allahabad Bank Apps,0.03,7.7
249,2,Amazon Pay,62.43,6353.15
250,3,AU Small Finance Bank Apps,0.45,138.7
251,4,Axis Bank Apps,58.11,1357.89
252,5,Bajaj Finserv,2.45,178.59
253,6,Bajaj Markets,0.02,1.58
254,7,Bandhan Bank Apps,0.01,1.25
255,8,Bank of Baroda Apps,0.99,383.43
256,9,Bank of India Apps,0.17,54.81
257,10,Bank of Maharashtra Apps,0.07,17.19
258,11,BHIM,24.99,7860.48
259,12,Canara Bank Apps,0.67,176.37
260,13,Central Bank of India Apps,0.24,64.59
261,14,Citi Bank Apps,0.11,63.08
262,15,City Union Bank Apps,0.04,11.45
263,16,Cointab,0.06,24.98
264,17,Cred,14.81,19084.3
265,18,DBS Digibank Apps,0.48,178.76
266,19,Deutsche Bank Apps,1.98,119.21
267,20,Dhanlaxmi Bank Apps,0.01,3.1
268,21,Equitas Small Finance Bank Apps,0.01,4.94
269,22,Fave,0.14,7.71
270,23,Federal Bank Apps,3.8,520.2
271,24,Fino Payments bank Apps,0.08,5.05
272,25,GoIbibo,0.01,4.82
273,26,Google Pay,2212.73,371081.16
274,27,Groww,0.8,490.93
275,28,HDFC Bank Apps,9.83,2415.47
276,29,HSBC Bank Apps,0.11,66.14
277,30,ICICI Bank Apps,45.59,10725.25
278,31,IDBI Bank Apps,0.04,20.31
279,32,IDFC Bank Apps,10.19,762.41
280,33,India Post Payments Bank Apps,4.3,504.41
281,34,Indian Bank Apps,0.22,63.33
282,35,Indian Overseas Bank Apps,0.01,4.66
283,36,IndusInd Bank Apps,1.01,1605.56
284,37,Janata Sahakari Bank Apps,0.01,4.56
285,38,Jio Payments Bank Apps,1.85,113.28
286,39,Jupiter,2.03,249.2
287,40,Karnataka Bank Apps,0.38,55.32
288,41,Karur Vysya Bank Apps,0.04,16.54
289,42,Kotak Mahindra Bank Apps,9.28,1939.14
290,43,MakeMyTrip,0.15,62.67
291,44,MI Pay,0.15,24.8
292,45,Mobikwik,2.84,562.95
293,46,NSDL Payments Bank Apps,0.02,2.85
294,47,Paytm Payments Bank App,986.39,114217.1
295,48,PhonePe,3146.71,528433.49
296,49,Punjab National Bank Apps,0.09,43.41
297,50,Punjab Sind Bank Apps,0.01,5.25
298,51,RBL Bank Apps,0.82,163.02
299,52,Samsung Pay,4.09,468.37
300,53,South Indian Bank Apps,0.16,52.73
301,54,Standard Chartered Bank Apps,0.14,73.6
302,55,State Bank of India Apps,4.1,1926.51
303,56,Tamilnad Mercantile Bank Apps,0.06,7.94
304,57,TataNeu,0.1,15.78
305,58,TJSB Bank Apps,0.01,2.2
306,59,UCO Bank Apps,0.25,65.69
307,60,Ultracash,0.02,1.54
308,61,Union Bank Apps,0.52,215.23
309,62,Utkarsh Small Finance Bank Apps,0.02,4.71
310,63,WhatsApp,6.72,567.17
311,64,Yes Bank Apps,57.8,16234.92
312,65,Others,0.01,5.72
313,0,PhonePe,4987.33,775265.57
314,1,Google Pay,3767.68,538113.42
315,2,Paytm Payments Bank App,1484.82,176804.51
316,3,Cred,85.13,31926.2
317,4,Axis Bank Apps,69.43,3037.11
318,5,Amazon Pay,54.02,5836.99
319,6,ICICI Bank Apps,38.57,20999.12
320,7,Yes Bank Apps,28.94,11254.77
321,8,BHIM,24.61,7793.58
322,9,Kotak Mahindra Bank Apps,21.17,3678.04
323,10,FAM,20.27,235.89
324,11,WhatsApp,19.7,1677.53
325,12,HDFC Bank Apps,18.94,4671.76
326,13,Bajaj Finserv,13.22,1995.11
327,14,Airtel Payments Bank Apps,10.2,699.27
328,15,Samsung Pay,6.0,538.48
329,16,Federal Bank Apps,5.7,700.66
330,17,India Post Payments Bank Apps,5.56,498.37
331,18,State Bank of India Apps,5.39,2104.81
332,19,Groww,4.74,2911.09
333,20,IDFC Bank Apps,4.36,1107.81
334,21,Mobikwik,3.96,1203.54
335,22,Jupiter,3.94,500.95
336,23,Standard Chartered Bank Apps,3.59,514.44
337,24,Deutsche Bank Apps,2.08,359.86
338,25,Canara Bank Apps,1.64,492.29
339,26,Jio Payments Bank Apps,1.42,113.65
340,27,RBL Bank Apps,1.38,548.31
341,28,Bank of Baroda Apps,1.27,466.84
342,29,slice,0.96,306.89
343,30,Union Bank Apps,0.9,324.77
344,31,Punjab National Bank Apps,0.86,179.75
345,32,IndusInd Bank Apps,0.85,391.31
346,33,OMNI,0.77,25.2
347,34,AU Small Finance Bank Apps,0.71,218.16
348,35,KIWI,0.69,69.86
349,36,Karnataka Bank Apps,0.65,127.83
350,37,DBS Digibank Apps,0.46,174.06
351,38,Central Bank of India Apps,0.45,96.41
352,39,UCO Bank Apps,0.38,132.77
353,40,Indian Bank Apps,0.33,91.69
354,41,Bank of India Apps,0.29,85.09
355,42,South Indian Bank Apps,0.28,77.42
356,43,Fino Payments bank Apps,0.21,15.43
357,44,HSBC Bank Apps,0.17,98.19
358,45,BPAYWALLET,0.15,32.07
359,46,Fave,0.12,7.54
360,47,TataNeu,0.1,16.09
361,48,Tamilnad Mercantile Bank Apps,0.1,25.45
362,49,Ultracash,0.09,6.17
363,50,Citi Bank Apps,0.08,58.11
364,51,Indian Overseas Bank Apps,0.07,19.01
365,52,City Union Bank Apps,0.07,19.79
366,53,IDBI Bank Apps,0.06,31.69
367,54,INDIE,0.05,12.6
368,55,Bank of Maharashtra Apps,0.05,8.18
369,56,Karur Vysya Bank Apps,0.05,16.11
370,57,MakeMyTrip,0.04,20.49
371,58,SHRIRAMHDFCBANK,0.04,2.33
372,59,Equitas Small Finance Bank Apps,0.03,19.23
373,60,NSDL Payments Bank Apps,0.03,5.39
374,61,Allahabad Bank Apps,0.03,7.81
375,62,Punjab Sind Bank Apps,0.03,12.74
376,63,DHANI,0.03,4.2
377,64,Utkarsh Small Finance Bank Apps,0.02,6.67
378,65,Jammu and Kashmir Bank Apps,0.01,2.8
379,66,DIGIKHATA,0.01,3.81
380,67,ZOICICI,0.01,1.0
381,68,Dhanlaxmi Bank Apps,0.01,3.02
382,69,GoIbibo,0.01,2.99
383,70,SURYODAY,0.01,0.03
384,71,Bandhan Bank Apps,0.01,0.87
385,72,Others,0.03,8.46
386,0,Airtel Payments Bank Apps,15.12,5732.09
387,1,Allahabad Bank App,0.02,7.43
388,2,Amazon Pay,76.18,6641.62
389,3,AU Small Finance Bank App,0.21,76.22
390,4,Axis Bank Apps,59.85,957.37
391,5,Bajaj Finserv,0.13,7.08
392,6,Bank of Baroda Apps,0.75,333.91
393,7,Bank of India App,0.04,17.26
394,8,Bank of Maharashtra App,0.05,11.52
395,9,BHIM,27.12,8831.67
396,10,Canara Bank App,0.25,90.72
397,11,Central Bank of India App,0.13,46.47
398,12,Citi Bank App,0.09,76.94
399,13,City Union Bank App,0.01,4.61
400,14,Cointab,0.94,144.16
401,15,Cred,10.36,13817.16
402,16,DBS Digibank App,0.55,190.75
403,17,Dena Bank App,0.02,26.08
404,18,Deutsche Bank App,0.85,86.2
405,19,Dhanlaxmi Bank App,0.01,3.07
406,20,Federal Bank App,0.48,99.96
407,21,Fino Payments bank App,0.03,2.09
408,22,Finshell Pay,0.06,2.92
409,23,Google Pay,1587.43,302989.79
410,24,HDFC Bank Apps,4.96,1250.74
411,25,HSBC Bank App,0.09,53.73
412,26,ICICI Bank Apps,31.99,8921.76
413,27,IDBI Bank App,0.02,11.34
414,28,IDFC Bank App,0.9,278.53
415,29,India Post Payments Bank App,2.76,321.16
416,30,Indian Bank App,0.12,42.71
417,31,IndusInd Bank App,1.19,1269.16
418,32,Jammu and Kashmir Bank App,0.01,1.93
419,33,Janta Sahakari Bank App,0.01,4.48
420,34,Jio Payments Bank App,1.65,100.19
421,35,Jupiter Money,0.98,177.92
422,36,Karnataka Bank App,0.25,30.03
423,37,Karur Vysya Bank App,0.04,17.44
424,38,Kotak Mahindra Bank Apps,6.39,1168.93
425,39,MakeMy Trip,0.07,22.3
426,40,MI Pay,0.31,43.97
427,41,Mobikwik,4.24,985.86
428,42,NSDL Payments Bank App,0.01,1.31
429,43,Paytm Payments Bank App,706.37,88094.49
430,44,PhonePe,2077.6,394565.58
431,45,Punjab National Bank App,0.07,33.76
432,46,RBL Bank App,0.35,102.17
433,47,Samsung Pay,3.21,436.3
434,48,South Indian Bank App,0.13,39.92
435,49,Standard Chartered Bank App,0.1,60.26
436,50,State Bank of India Apps,3.63,1961.72
437,51,UCO Bank App,0.14,33.49
438,52,Ultracash,1.96,178.99
439,53,Union Bank Apps,0.36,167.6
440,54,WhatsApp,2.25,188.78
441,55,Yes Bank Apps,25.14,5689.75
442,56,YuvaPay,0.05,78.43
443,57,Others,0.02,8.74
444,0,Airtel Payments Bank Apps,8.7,681.67
445,1,Allahabad Bank Apps,0.03,9.75
446,2,Amazon Pay,69.61,6621.66
447,3,AU Small Finance Bank Apps,0.58,177.47
448,4,Axis Bank Apps,65.56,1305.09
449,5,Bajaj Finserv,4.56,647.71
450,6,Bandhan Bank Apps,0.01,1.53
451,7,Bank of Baroda Apps,1.02,397.56
452,8,Bank of India Apps,0.22,64.32
453,9,Bank of Maharashtra Apps,0.08,19.91
454,10,BHIM,25.5,8400.04
455,11,Canara Bank Apps,1.02,275.7
456,12,Central Bank of India Apps,0.26,60.32
457,13,Citi Bank Apps,0.09,68.38
458,14,City Union Bank Apps,0.05,14.38
459,15,Cointab,0.05,18.98
460,16,Cred,31.42,19622.29
461,17,DBS Digibank Apps,0.41,171.59
462,18,Deutsche Bank Apps,1.28,104.49
463,19,Dhanlaxmi Bank Apps,0.01,3.16
464,20,Equitas Small Finance Bank Apps,0.02,11.69
465,21,Fampay PPI,9.7,127.19
466,22,Fave,0.08,5.01
467,23,Federal Bank Apps,4.57,595.18
468,24,Fino Payments bank Apps,0.11,7.49
469,25,Google Pay,2712.34,440370.99
470,26,Groww,0.21,153.02
471,27,HDFC Bank Apps,11.81,3143.24
472,28,HSBC Bank Apps,0.15,78.63
473,29,ICICI Bank Apps,48.29,16125.15
474,30,IDBI Bank Apps,0.07,29.5
475,31,IDFC Bank Apps,9.7,1322.98
476,32,India Post Payments Bank Apps,5.55,682.59
477,33,Indian Bank Apps,0.25,73.71
478,34,Indian Overseas Bank Apps,0.01,2.9
479,35,IndusInd Bank Apps,1.26,1062.4
480,36,Janata Sahakari Bank Apps,0.01,4.58
481,37,Jio Payments Bank Apps,1.48,104.71
482,38,Jupiter,2.53,318.03
483,39,Karnataka Bank Apps,0.48,91.09
484,40,Karur Vysya Bank Apps,0.04,14.87
485,41,Kotak Mahindra Bank Apps,11.53,2480.18
486,42,MakeMyTrip,0.1,52.3
487,43,Mobikwik,3.62,806.82
488,44,NSDL Payments Bank Apps,0.02,2.95
489,45,Paytm Payments Bank App,1170.34,138821.66
490,46,PhonePe,3674.24,639348.78
491,47,Punjab National Bank Apps,0.22,76.7
492,48,Punjab Sind Bank Apps,0.03,10.48
493,49,RBL Bank Apps,1.1,215.3
494,50,Samsung Pay,5.49,531.12
495,51,Slash,0.01,0.79
496,52,Slice,0.15,15.74
497,53,South Indian Bank Apps,0.18,53.2
498,54,Standard Chartered Bank Apps,0.16,90.42
499,55,State Bank of India Apps,4.22,1928.43
500,56,Tamilnad Mercantile Bank Apps,0.08,12.13
501,57,TataNeu,0.15,17.64
502,58,UCO Bank Apps,0.31,93.32
503,59,Ultracash,0.03,1.65
504,60,Union Bank Apps,0.92,310.63
505,61,Utkarsh Small Finance Bank Apps,0.02,7.81
506,62,WhatsApp,11.05,917.49
507,63,Yes Bank Apps,36.16,13415.46
508,64,Others,0.03,7.64
509,0,Airtel Payments Bank Apps,7.58,2210.17
510,1,Allahabad Bank App,0.02,6.28
511,2,Amazon Pay,63.49,6044.47
512,3,AU Small Finance Bank App,0.25,89.36
513,4,Axis Bank Apps,54.78,1405.26
514,5,Bajaj Finserv,0.33,19.32
515,6,Bank of Baroda Apps,0.67,330.69
516,7,Bank of India App,0.05,21.28
517,8,Bank of Maharashtra App,0.05,12.49
518,9,BHIM,23.25,7891.86
519,10,Canara Bank App,0.26,95.78
520,11,Central Bank of India App,0.12,45.26
521,12,Citi Bank App,0.08,69.22
522,13,City Union Bank App,0.02,5.49
523,14,Cointab,1.73,280.57
524,15,Cred,10.08,13364.09
525,16,DBS Digibank App,0.46,173.63
526,17,Dena Bank App,0.02,23.93
527,18,Deutsche Bank App,0.87,70.43
528,19,Dhanlaxmi Bank App,0.01,2.83
529,20,Federal Bank App,0.55,108.21
530,21,Fino Payments bank App,0.03,3.25
531,22,Finshell Pay,0.06,3.8
532,23,Google Pay,1524.09,291273.46
533,24,HDFC Bank Apps,4.59,1370.03
534,25,HSBC Bank App,0.08,52.97
535,26,ICICI Bank Apps,30.66,8727.44
536,27,IDBI Bank App,0.02,14.6
537,28,IDFC Bank App,1.21,321.93
538,29,India Post Payments Bank App,2.21,268.9
539,30,Indian Bank App,0.11,42.07
540,31,IndusInd Bank App,0.77,1358.24
541,32,Jammu and Kashmir Bank App,0.01,3.43
542,33,Janta Sahakari Bank App,0.01,4.33
543,34,Jio Payments Bank App,1.97,111.85
544,35,Jupiter Money,1.13,140.79
545,36,Karnataka Bank App,0.25,31.35
546,37,Karur Vysya Bank App,0.04,17.17
547,38,Kotak Mahindra Bank Apps,6.91,1383.3
548,39,MakeMy Trip,0.08,33.03
549,40,MI Pay,0.25,38.46
550,41,Mobikwik,3.78,755.89
551,42,NSDL Payments Bank App,0.02,1.77
552,43,Paytm Payments Bank App,706.77,86299.22
553,44,PhonePe,2120.2,407640.11
554,45,Punjab National Bank App,0.08,43.49
555,46,Punjab Sindh Bank Apps,0.01,2.66
556,47,RBL Bank App,0.51,107.25
557,48,Samsung Pay,3.14,421.97
558,49,South Indian Bank App,0.12,38.69
559,50,Standard Chartered Bank App,0.12,64.7
560,51,State Bank of India Apps,3.38,1863.42
561,52,UCO Bank App,0.16,35.05
562,53,Ultracash,1.51,158.7
563,54,Union Bank Apps,0.35,166.72
564,55,Utkarsh Small Finance Bank,0.01,2.42
565,56,WhatsApp,2.24,207.09
566,57,Yes Bank Apps,32.17,6551.61
567,58,YuvaPay,0.05,89.7
568,59,Others,0.02,8.15
569,0,Airtel Payments Bank Apps,8.71,730.45
570,1,Allahabad Bank Apps,0.03,8.47
571,2,Amazon Pay,47.8,4981.82
572,3,AU Small Finance Bank Apps,0.55,165.07
573,4,Axis Bank Apps,51.95,1413.95
574,5,Bajaj Finserv,5.44,882.75
575,6,Bandhan Bank Apps,0.01,1.71
