,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
576,7,Bank of Baroda Apps,1.14,409.33
577,8,Bank of India Apps,0.24,68.69
578,9,Bank of Maharashtra Apps,0.07,19.02
579,10,BHIM,23.21,7158.37
580,11,Bajaj Finserv,0.01,3.43
581,12,Canara Bank Apps,1.09,284.23
582,13,Central Bank of India Apps,0.32,72.15
583,14,Citi Bank Apps,0.08,59.37
584,15,City Union Bank Apps,0.06,15.94
585,16,Cointab,0.04,16.4
586,17,Cred,36.57,17902.2
587,18,DBS Digibank Apps,0.39,161.51
588,19,Deutsche Bank Apps,1.32,118.35
589,20,Transerv,0.02,3.13
590,21,Dhanlaxmi Bank Apps,0.01,2.67
591,22,Equitas Small Finance Bank Apps,0.02,11.41
592,23,EROUTE,0.17,6.08
593,24,FamPay PPI,1.6,21.73
594,25,Fave,0.11,7.08
595,26,Federal Bank Apps,4.76,590.97
596,27,Fino Payments bank Apps,0.1,6.5
597,28,Google Pay,2639.55,424442.48
598,29,Groww,0.21,158.9
599,30,HDFC Bank Apps,11.87,3116.17
600,31,HSBC Bank Apps,0.12,73.04
601,32,ICICI Bank Apps,40.52,14831.4
602,33,IDBI Bank Apps,0.07,29.25
603,34,IDFC Bank Apps,22.28,3044.21
604,35,India Post Payments Bank Apps,4.05,609.49
605,36,Indian Bank Apps,0.24,68.57
606,37,Indian Overseas Bank Apps,0.01,2.31
607,38,IndusInd Bank Apps,0.78,848.43
608,39,Jio Payments Bank Apps,1.5,104.03
609,40,Jupiter,2.39,314.07
610,41,Karnataka Bank Apps,0.39,88.38
611,42,Karur Vysya Bank Apps,0.04,14.78
612,43,Kotak Mahindra Bank Apps,12.09,2521.65
613,44,MakeMyTrip,0.05,22.7
614,45,Mobikwik,3.39,804.92
615,46,NSDL Payments Bank Apps,0.02,3.0
616,47,Paytm Payments Bank App,1137.53,136528.25
617,48,PhonePe,3519.12,620121.97
618,49,Punjab National Bank Apps,0.33,90.01
619,50,Punjab Sind Bank Apps,0.04,12.34
620,51,RBL Bank Apps,1.74,489.45
621,52,Samsung Pay,5.24,488.33
622,53,Slash,0.01,0.49
623,54,slice,0.47,117.78
624,55,South Indian Bank Apps,0.2,54.81
625,56,Standard Chartered Bank Apps,0.14,82.79
626,57,State Bank of India Apps,3.72,1753.93
627,58,Tamilnad Mercantile Bank Apps,0.06,10.21
628,59,TataNeu,0.13,14.54
629,60,UCO Bank Apps,0.31,97.44
630,61,Ultracash,0.03,1.67
631,62,Union Bank Apps,0.71,280.27
632,63,Utkarsh Small Finance Bank Apps,0.02,9.01
633,64,WhatsApp,11.63,970.67
634,65,Yes Bank Apps,26.55,7518.24
635,66,Others,0.03,9.01
636,0,Airtel Payments Bank Apps,13.22,4729.77
637,1,Allahabad Bank App,0.02,7.36
638,2,Amazon Pay,73.5,6729.66
639,3,AU Small Finance Bank App,0.23,81.15
640,4,Axis Bank Apps,47.25,1093.02
641,5,Bajaj Finserv,0.24,12.88
642,6,Bank of Baroda Apps,0.71,342.85
643,7,Bank of India App,0.05,20.23
644,8,Bank of Maharashtra App,0.05,12.46
645,9,BHIM,25.82,8511.91
646,10,Canara Bank App,0.26,98.95
647,11,Central Bank of India App,0.13,47.33
648,12,Citi Bank App,0.09,77.8
649,13,City Union Bank App,0.02,4.92
650,14,Cointab,1.21,179.22
651,15,Cred,10.68,14189.86
652,16,DBS Digibank App,0.51,186.79
653,17,Dena Bank App,0.02,26.5
654,18,Deutsche Bank App,0.92,62.08
655,19,Dhanlaxmi Bank App,0.01,2.95
656,20,Federal Bank App,0.54,109.25
657,21,Fino Payments bank App,0.03,2.79
658,22,Finshell Pay,0.07,3.69
659,23,Google Pay,1584.2,298267.07
660,24,HDFC Bank Apps,4.94,1366.89
661,25,HSBC Bank App,0.08,54.57
662,26,ICICI Bank Apps,33.43,8707.05
663,27,IDBI Bank App,0.02,12.54
664,28,IDFC Bank App,1.22,316.37
665,29,India Post Payments Bank App,2.65,309.42
666,30,Indian Bank App,0.13,47.42
667,31,IndusInd Bank App,0.74,1218.79
668,32,Jammu and Kashmir Bank App,0.01,2.47
669,33,Janta Sahakari Bank App,0.01,4.46
670,34,Jio Payments Bank App,2.05,114.39
671,35,Jupiter Money,1.02,156.15
672,36,Karnataka Bank App,0.25,31.19
673,37,Karur Vysya Bank App,0.04,17.37
674,38,Kotak Mahindra Bank Apps,6.88,1333.06
675,39,MakeMy Trip,0.06,19.63
676,40,MI Pay,0.27,40.51
677,41,Mobikwik,3.87,886.55
678,42,NSDL Payments Bank App,0.02,1.45
679,43,Paytm Payments Bank App,710.28,85125.97
680,44,PhonePe,2140.28,405173.78
681,45,Punjab National Bank App,0.09,44.86
682,46,Punjab Sindh Bank App,0.01,2.87
683,47,RBL Bank App,0.43,101.45
684,48,Samsung Pay,3.17,431.07
685,49,South Indian Bank App,0.13,41.4
686,50,Standard Chartered Bank App,0.11,60.49
687,51,State Bank of India Apps,3.62,1967.05
688,52,UCO Bank App,0.16,37.26
689,53,Ultracash,2.14,177.63
690,54,Union Bank Apps,0.39,182.27
691,55,WhatsApp,2.34,205.83
692,56,Yes Bank Apps,27.59,5817.16
693,57,YuvaPay,0.05,77.12
694,58,Others,0.02,9.08
695,0,Airtel Payments Bank Apps,9.77,834.63
696,1,Allahabad Bank Apps,0.03,9.17
697,2,Amazon Pay,57.75,5797.03
698,3,AU Small Finance Bank Apps,0.58,181.45
699,4,Axis Bank Apps,56.28,1467.64
700,5,Bajaj Finserv,5.01,812.4
701,6,Bajaj Markets,0.01,0.5
702,7,Bandhan Bank Apps,0.01,1.47
703,8,Bank of Baroda Apps,1.1,423.46
704,9,Bank of India Apps,0.24,70.34
705,10,Bank of Maharashtra Apps,0.08,20.39
706,11,BHIM,24.96,8164.65
707,12,Canara Bank Apps,1.08,289.29
708,13,Central Bank of India Apps,0.31,68.68
709,14,Citi Bank Apps,0.12,71.81
710,15,City Union Bank Apps,0.05,15.51
711,16,Cointab,0.05,21.16
712,17,Cred,35.18,19106.82
713,18,DBS Digibank Apps,0.41,174.02
714,19,Deutsche Bank Apps,1.31,150.29
715,20,Dhanlaxmi Bank Apps,0.01,2.76
716,21,Equitas Small Finance Bank Apps,0.02,13.02
717,22,Eroute,0.08,2.29
718,23,Fampay PPI,12.8,175.64
719,24,Fave,0.11,7.87
720,25,Federal Bank Apps,4.72,604.61
721,26,Fino Payments bank Apps,0.11,7.51
722,27,GoIbibo,0.01,1.6
723,28,Google Pay,2782.42,443725.01
724,29,Groww,0.19,152.17
725,30,HDFC Bank Apps,12.3,3324.81
726,31,HSBC Bank Apps,0.13,75.58
727,32,ICICI Bank Apps,45.14,17088.16
728,33,IDBI Bank Apps,0.07,30.81
729,34,IDFC Bank Apps,11.47,2222.2
730,35,India Post Payments Bank Apps,5.43,707.37
731,36,Indian Bank Apps,0.26,73.38
732,37,Indian Overseas Bank Apps,0.01,2.31
733,38,IndusInd Bank Apps,0.84,962.09
734,39,Janata Sahakari Bank Apps,0.01,3.98
735,40,Jio Payments Bank Apps,1.59,108.84
736,41,Jupiter,2.49,323.88
737,42,Karnataka Bank Apps,0.4,85.81
738,43,Karur Vysya Bank Apps,0.04,15.27
739,44,Kotak Mahindra Bank Apps,12.14,2612.6
740,45,MakeMyTrip,0.08,35.59
741,46,Mobikwik,3.49,785.48
742,47,NSDL Payments Bank Apps,0.02,3.0
743,48,Paytm Payments Bank App,1190.89,139673.0
744,49,PhonePe,3802.67,651108.51
745,50,Punjab National Bank Apps,0.25,82.15
746,51,Punjab Sind Bank Apps,0.04,13.08
747,52,RBL Bank Apps,1.32,242.88
748,53,Samsung Pay,5.52,523.73
749,54,Slash,0.01,0.68
750,55,slice,0.22,45.82
751,56,South Indian Bank Apps,0.19,56.75
752,57,Standard Chartered Bank Apps,0.15,85.16
753,58,State Bank of India Apps,4.06,1901.92
754,59,Tamilnad Mercantile Bank Apps,0.07,11.67
755,60,TataNeu,0.11,14.79
756,61,Transerv,0.01,0.71
757,62,UCO Bank Apps,0.32,101.06
758,63,Ultracash,0.04,2.25
759,64,Union Bank Apps,0.8,303.93
760,65,Utkarsh Small Finance Bank Apps,0.02,8.35
761,66,WhatsApp,11.47,963.12
762,67,Yes Bank Apps,33.96,12116.61
763,68,Others,0.02,5.57
764,0,Airtel Payments Bank Apps,7.41,555.26
765,1,Allahabad Bank Apps,0.03,6.95
766,2,Amazon Pay,68.77,6751.8
767,3,AU Small Finance Bank Apps,0.42,131.49
768,4,Axis Bank Apps,53.99,1213.95
769,5,Bajaj Finserv,1.95,128.52
770,6,Bajaj Markets,0.02,1.66
771,7,Bandhan Bank Apps,0.01,1.35
772,8,Bank of Baroda Apps,0.88,354.45
773,9,Bank of India Apps,0.15,46.44
774,10,Bank of Maharashtra Apps,0.06,16.47
775,11,BHIM,24.48,7823.95
776,12,Canara Bank Apps,0.47,128.79
777,13,Central Bank of India Apps,0.22,58.37
778,14,Citi Bank Apps,0.11,63.66
779,15,City Union Bank Apps,0.03,10.19
780,16,Cointab,0.07,27.3
781,17,Cred,14.89,19716.43
782,18,DBS Digibank Apps,0.47,179.27
783,19,Deutsche Bank Apps,1.87,116.01
784,20,Dhanlaxmi Bank Apps,0.01,2.86
785,21,Equitas Small Finance Bank Apps,0.01,4.89
786,22,Fave,0.16,11.06
787,23,Federal Bank Apps,3.85,539.55
788,24,Fino Payments Bank Apps,0.06,4.26
789,25,GoIbibo,0.01,5.1
790,26,Google Pay,2130.63,366669.09
791,27,Groww,0.49,290.31
792,28,HDFC Bank Apps,9.38,2341.28
793,29,HSBC Bank Apps,0.11,68.47
794,30,ICICI Bank Apps,37.34,11509.29
795,31,IDBI Bank Apps,0.03,16.42
796,32,IDFC Bank Apps,8.28,645.34
797,33,India Post Payments Bank Apps,4.08,480.59
798,34,Indian Bank Apps,0.21,71.39
799,35,Indian Overseas Bank Apps,0.01,3.74
800,36,IndusInd Bank Apps,0.99,1652.26
801,37,Janata Sahakari Bank Apps,0.01,4.15
802,38,Jio Payments Bank Apps,1.9,116.59
803,39,Jupiter,2.1,254.14
804,40,Karnataka Bank Apps,0.35,48.01
805,41,Karur Vysya Bank Apps,0.04,15.66
806,42,Kotak Mahindra Bank Apps,8.86,1816.33
807,43,MakeMyTrip,0.13,58.19
808,44,MI Pay,0.16,26.98
809,45,Mobikwik,2.48,462.17
810,46,NSDL Payments Bank Apps,0.02,3.5
811,47,Paytm Payments Bank App,933.88,111149.66
812,48,PhonePe,2993.83,524742.49
813,49,Punjab National Bank Apps,0.07,35.7
814,50,Punjab Sind Bank Apps,0.01,4.03
815,51,RBL Bank Apps,0.54,121.17
816,52,Samsung Pay,4.05,472.39
817,53,South Indian Bank Apps,0.15,46.97
818,54,Standard Chartered Bank Apps,0.14,74.11
819,55,State Bank of India Apps,4.15,2013.47
820,56,Tamilnad Mercantile Bank Apps,0.05,6.78
821,57,TataNeu,0.11,17.26
822,58,TJSB Bank Apps,0.01,2.26
823,59,UCO Bank Apps,0.22,46.83
824,60,Ultracash,0.03,2.08
825,61,Union Bank Apps,0.49,208.03
826,62,Utkarsh Small Finance Bank Apps,0.02,4.55
827,63,WhatsApp,6.18,502.0
828,64,Yes Bank Apps,60.8,15236.04
829,65,YuvaPay,0.01,21.38
830,66,Others,0.02,5.15
831,0,PhonePe,4743.66,761247.87
832,1,Google Pay,3494.64,518095.1
833,2,Paytm Payments Bank App,1393.66,170767.35
834,3,Cred,80.34,30999.71
835,4,Axis Bank Apps,64.3,3217.03
836,5,Amazon Pay,57.6,6163.84
837,6,ICICI Bank Apps,35.92,17770.37
838,7,Yes Bank Apps,32.01,11502.79
839,8,BHIM,24.94,8244.91
840,9,Kotak Mahindra Bank Apps,18.56,3480.6
841,10,WhatsApp,17.84,1598.67
842,11,HDFC Bank Apps,17.77,4410.51
843,12,Fampay,16.79,206.43
844,13,Bajaj Finserv,12.11,1740.97
845,14,Airtel Payments Bank Apps,9.65,666.04
846,15,Samsung Pay,5.81,544.13
847,16,India Post Payments Bank Apps,5.43,587.75
848,17,Federal Bank Apps,5.19,665.11
849,18,State Bank of India Apps,5.01,2095.15
850,19,IDFC Bank Apps,4.17,1121.41
851,20,Standard Chartered Bank Apps,4.14,2129.38
852,21,Mobikwik,3.79,1140.63
853,22,Jupiter,3.27,466.39
854,23,Groww,2.81,2075.98
855,24,Deutsche Bank Apps,1.83,175.52
856,25,Canara Bank Apps,1.73,514.02
857,26,Kiwi,1.53,52.51
858,27,Bank of Baroda Apps,1.34,477.16
859,28,Jio Payments Bank Apps,1.34,114.12
860,29,RBL Bank Apps,1.28,529.58
861,30,slice,0.94,301.0
862,31,Union Bank Apps,0.88,349.19
863,32,IndusInd Bank Apps,0.84,723.32
864,33,Punjab National Bank Apps,0.79,181.5
865,34,AU Small Finance Bank Apps,0.68,209.86
866,35,Omnicard,0.62,19.49
867,36,Karnataka Bank Apps,0.61,124.34
868,37,DBS Digibank Apps,0.44,179.72
869,38,Central Bank of India Apps,0.44,97.75
870,39,UCO Bank Apps,0.36,116.31
871,40,Indian Bank Apps,0.31,92.64
872,41,South Indian Bank Apps,0.25,73.83
873,42,Bank of India Apps,0.25,78.83
874,43,Fino Payments bank Apps,0.17,13.36
875,44,HSBC Bank Apps,0.16,96.52
876,45,Fave,0.12,7.56
877,46,Bajaj Finserv PPI,0.11,25.8
878,47,TataNeu,0.1,16.7
879,48,Tamilnad Mercantile Bank Apps,0.1,23.5
880,49,IDBI Bank Apps,0.07,37.4
881,50,Citi Bank Apps,0.07,61.36
882,51,Ultracash,0.07,5.01
883,52,City Union Bank Apps,0.07,20.96
884,53,Indian Overseas Bank Apps,0.07,18.01
885,54,Karur Vysya Bank Apps,0.04,16.34
886,55,MakeMyTrip,0.04,19.92
887,56,Dhani,0.03,7.81
888,57,Equitas Small Finance Bank Apps,0.03,18.9
889,58,Bank of Maharashtra Apps,0.03,5.66
890,59,Allahabad Bank Apps,0.03,8.73
891,60,Punjab Sind Bank Apps,0.03,12.72
892,61,NSDL Payments Bank Apps,0.03,4.56
893,62,Utkarsh Small Finance Bank Apps,0.02,6.24
894,63,Mobikwik PPI,0.02,3.63
895,64,Jammu and Kashmir Bank Apps,0.01,2.29
896,65,Zomato,0.01,0.66
897,66,Dhanlaxmi Bank Apps,0.01,2.87
898,67,Bandhan Bank Apps,0.01,0.98
899,68,Shriram ,0.01,0.21
900,69,Others,0.03,11.05
901,0,Airtel Payments Bank Apps,6.69,2821.94
902,1,Amazon Pay,51.34,4814.74
903,2,AU Small Finance Bank App,0.05,25.43
904,3,Axis Bank Apps,61.92,857.05
905,4,Bajaj Finserv,0.01,1.05
906,5,Bank of Baroda Apps,0.6,265.38
907,6,Bank of India App,0.02,8.25
908,7,Bank of Maharashtra App,0.03,6.82
909,8,BHIM,22.84,7319.77
910,9,Canara Bank App,0.1,52.64
911,10,Central Bank of India App,0.11,45.3
912,11,Citi Bank App,0.08,75.09
913,12,Cointab,0.12,40.95
914,13,Cred,5.77,6151.57
915,14,DBS Digibank App,0.51,170.57
916,15,Dena Bank App,0.02,21.57
917,16,Deutsche Bank App,0.32,27.44
918,17,Federal Bank App,0.21,49.99
919,18,Fino Payments bank App,0.01,1.09
920,19,Google Pay,972.26,207287.73
921,20,HDFC Bank Apps,2.07,408.61
922,21,HSBC Bank App,0.07,35.57
923,22,ICICI Bank Apps,15.29,5076.12
924,23,IDBI Bank App,0.02,10.86
925,24,IDFC Bank App,0.21,101.74
926,25,India Post Payments Bank App,1.47,203.73
927,26,Indian Bank App,0.05,25.18
928,27,IndusInd Bank App,2.18,421.41
929,28,Jio Payments Bank App,0.8,52.08
930,29,Karnataka Bank App,0.12,22.51
931,30,Karur Vysya Bank App,0.03,12.59
932,31,Kotak Mahindra Bank Apps,2.8,535.98
933,32,MakeMy Trip,0.06,22.16
934,33,MI Pay,0.36,56.69
935,34,Mobikwik,3.21,535.12
936,35,Paytm Payments Bank App,383.05,44981.11
937,36,PhonePe,1292.71,262565.88
938,37,Punjab National Bank App,0.08,41.1
939,38,RBL Bank App,0.13,61.95
940,39,Samsung Pay,1.64,331.04
941,40,South Indian Bank App,0.06,24.3
942,41,Standard Chartered Bank App,0.06,39.42
943,42,State Bank of India Apps,3.43,1978.61
944,43,UCO Bank App,0.09,20.8
945,44,Ultracash,1.19,148.09
946,45,Union Bank Apps,0.29,128.37
947,46,WhatsApp,0.46,42.44
948,47,Yes Bank Apps,24.72,5227.04
949,48,YuvaPay,1.33,60.44
950,49,Others,0.05,19.27
951,0,Airtel Payments Bank Apps,6.38,506.2
952,1,Allahabad Bank Apps,0.02,6.79
953,2,Amazon Pay,68.4,6541.84
954,3,AU Small Finance Bank Apps,0.38,120.24
955,4,Axis Bank Apps,52.6,1268.38
956,5,Bajaj Finserv,1.16,85.49
957,6,Bajaj Markets,0.01,1.2
958,7,Bank of Baroda Apps,0.83,347.72
959,8,Bank of India Apps,0.13,41.82
960,9,Bank of Maharashtra Apps,0.06,15.77
961,10,BHIM,22.6,7527.98
962,11,Canara Bank Apps,0.34,109.78
963,12,Central Bank of India Apps,0.15,54.06
964,13,Citi Bank Apps,0.13,63.54
965,14,City Union Bank Apps,0.03,8.72
966,15,Cointab,0.06,23.99
967,16,Cred,13.4,17583.25
968,17,DBS Digibank Apps,0.46,171.69
969,18,Deutsche Bank Apps,1.51,99.12
970,19,Dhanlaxmi Bank Apps,0.01,2.7
971,20,Equitas Small Finance Bank Apps,0.01,3.87
972,21,Fave,0.12,6.94
973,22,Federal Bank Apps,3.55,494.21
974,23,Fino Payments bank Apps,0.05,3.17
975,24,Finshell Pay,0.1,5.3
976,25,GoIbibo,0.01,3.87
977,26,Google Pay,2025.89,355137.2
978,27,Groww,0.72,416.73
979,28,HDFC Bank Apps,8.24,2066.22
980,29,HSBC Bank Apps,0.11,61.39
981,30,ICICI Bank Apps,39.37,10202.14
982,31,IDBI Bank Apps,0.03,15.71
983,32,IDFC Bank Apps,7.03,663.65
984,33,India Post Payments Bank Apps,3.98,467.34
985,34,Indian Bank Apps,0.17,53.68
986,35,Indian Overseas Bank Apps,0.01,2.98
987,36,IndusInd Bank Apps,1.0,1645.13
988,37,Janata Sahakari Bank Apps,0.01,4.47
989,38,Jio Payments Bank Apps,1.87,116.34
990,39,Jupiter,1.89,223.22
991,40,Jupiter Edge (LivQuick PPI),0.13,8.72
992,41,Karnataka Bank Apps,0.32,43.13
993,42,Karur Vysya Bank Apps,0.04,15.91
994,43,Kotak Mahindra Bank Apps,8.33,1762.28
995,44,MakeMyTrip,0.11,51.45
996,45,MI Pay,0.17,29.61
997,46,Mobikwik,2.31,404.63
998,47,NSDL Payments Bank Apps,0.02,2.44
999,48,Paytm Payments Bank App,877.5,102119.9
1000,49,PhonePe,2732.59,501474.48
1001,50,Punjab National Bank Apps,0.08,40.68
1002,51,Punjab Sind Bank Apps,0.01,5.93
1003,52,RBL Bank Apps,0.42,123.89
1004,53,Samsung Pay,4.07,468.23
1005,54,South Indian Bank Apps,0.14,46.66
1006,55,Standard Chartered Bank Apps,0.13,69.13
1007,56,State Bank of India Apps,3.83,1947.1
1008,57,Tamilnad Mercantile Bank Apps,0.03,4.02
1009,58,TataNeu,0.12,19.41
1010,59,TJSB Bank Apps,0.01,2.1
1011,60,UCO Bank Apps,0.22,42.3
1012,61,Ultracash,0.03,3.32
1013,62,Union Bank Apps,0.45,199.8
1014,63,Utkarsh Small Finance Bank Apps,0.01,3.47
1015,64,WhatsApp,23.04,429.06
1016,65,Yes Bank Apps,44.03,11147.17
1017,66,YuvaPay,0.03,58.31
1018,67,Others,0.02,6.34
1019,0,PhonePe,4461.36,745552.2
1020,1,Google Pay,3266.83,494088.0
1021,2,Paytm Payments Bank App,1307.48,162494.8
1022,3,Cred,73.93,26431.8
1023,4,Amazon Pay,52.89,5647.9
1024,5,Axis Bank Apps,47.64,2231.7
1025,6,ICICI Bank Apps,37.63,16243.7
1026,7,Yes Bank Apps,36.46,12997.5
1027,8,BHIM,23.11,7289.0
1028,9,HDFC Bank Apps,17.56,4168.6
1029,10,Kotak Mahindra Bank Apps,17.38,3202.5
1030,11,WhatsApp,16.0,1443.3
1031,12,Fampay,14.99,184.7
1032,13,Bajaj Finserv,9.76,1312.6
1033,14,Airtel Payments Bank Apps,8.84,632.2
1034,15,IDFC Bank Apps,6.31,1540.3
1035,16,Samsung Pay,5.61,522.8
1036,17,Federal Bank Apps,4.86,630.0
1037,18,India Post Payments Bank Apps,4.83,742.5
1038,19,State Bank of India Apps,4.64,1959.7
1039,20,Mobikwik,3.58,1060.4
1040,21,Jupiter,2.96,424.8
1041,22,Deutsche Bank Apps,1.81,125.6
1042,23,Canara Bank Apps,1.58,462.7
1043,24,Groww,1.45,1039.6
1044,25,Standard Chartered Bank Apps,1.4,672.6
1045,26,Jio Payments Bank Apps,1.35,113.2
1046,27,RBL Bank Apps,1.29,497.9
1047,28,Bank of Baroda Apps,1.19,427.7
1048,29,slice,0.88,272.8
1049,30,IndusInd Bank Apps,0.79,897.6
1050,31,Union Bank Apps,0.79,318.9
1051,32,Punjab National Bank Apps,0.77,169.7
1052,33,AU Small Finance Bank Apps,0.64,196.1
1053,34,Karnataka Bank Apps,0.61,125.9
1054,35,OmniCard,0.48,13.9
1055,36,Central Bank of India Apps,0.44,97.6
1056,37,DBS Digibank Apps,0.41,166.9
1057,38,UCO Bank Apps,0.33,107.6
1058,39,Indian Bank Apps,0.28,81.2
1059,40,South Indian Bank Apps,0.25,70.5
1060,41,Bank of India Apps,0.23,71.9
1061,42,Jupiter Edge (LivQuick PPI),0.21,11.3
1062,43,HSBC Bank Apps,0.15,89.2
1063,44,Fino Payments bank Apps,0.13,9.2
1064,45,TataNeu,0.12,17.6
1065,46,Tamilnad Mercantile Bank Apps,0.08,18.9
1066,47,IDBI Bank Apps,0.08,34.1
1067,48,Citi Bank Apps,0.07,54.2
1068,49,Fave,0.07,4.6
1069,50,Bajaj Finserv PPI ,0.07,14.3
1070,51,PINELABS,0.07,4.2
1071,52,City Union Bank Apps,0.06,18.3
1072,53,Kiwi,0.05,4.1
1073,54,Indian Overseas Bank Apps,0.05,13.0
1074,55,Ultracash,0.04,3.1
1075,56,Karur Vysya Bank Apps,0.04,14.0
1076,57,MakeMyTrip,0.03,18.2
1077,58,Punjab Sind Bank Apps,0.03,12.6
1078,59,Dhani ,0.03,7.0
1079,60,Equitas Small Finance Bank Apps,0.03,17.3
1080,61,Allahabad Bank Apps,0.03,8.3
1081,62,NSDL Payments Bank Apps,0.02,4.1
1082,63,GoNiyo PPI,0.02,0.5
1083,64,Utkarsh Small Finance Bank Apps,0.02,6.3
1084,65,Jammu and Kashmir Bank Apps,0.01,2.4
1085,66,Bandhan Bank Apps,0.01,3.1
1086,67,Zomato,0.01,1.7
1087,68,Dhanlaxmi Bank Apps,0.01,3.2
1088,69,Bank of Maharashtra Apps,0.01,0.8
1089,70,Others,0.0,11.8
1090,0,Airtel Payments Bank Apps,13.16,4492.25
1091,1,Allahabad Bank Apps,0.02,6.15
1092,2,Amazon Pay,76.34,6894.78
1093,3,AU Small Finance Bank Apps,0.29,104.48
1094,4,Axis Bank Apps,61.29,1084.94
1095,5,Bajaj Finserv,0.35,24.08
1096,6,Bank of Baroda Apps,0.69,328.61
1097,7,Bank of India Apps,0.08,26.22
1098,8,Bank of Maharashtra Apps,0.05,15.0
1099,9,BHIM,24.88,8050.24
1100,10,Canara Bank Apps,0.31,109.68
1101,11,Central Bank of India Apps,0.14,50.67
1102,12,Citi Bank Apps,0.11,68.41
1103,13,City Union Bank Apps,0.03,7.3
1104,14,Cointab,0.08,33.22
1105,15,Cred,12.11,16136.11
1106,16,DBS Digibank Apps,0.49,185.52
1107,17,Dena Bank Apps,0.02,29.32
1108,18,Deutsche Bank Apps,1.02,93.02
1109,19,Dhanlaxmi Bank Apps,0.01,3.29
1110,20,Fave,0.37,13.0
1111,21,Federal Bank Apps,2.45,360.96
1112,22,Fino Payments bank Apps,0.04,3.47
1113,23,Finserv Markets,0.03,1.49
1114,24,Finshell Pay,0.08,4.0
1115,25,GoIbibo,0.02,5.91
1116,26,Google Pay,1838.12,338873.25
1117,27,Groww,0.83,472.71
1118,28,HDFC Bank Apps,5.45,1624.54
1119,29,HSBC Bank Apps,0.1,62.0
1120,30,ICICI Bank Apps,35.13,10538.69
1121,31,IDBI Bank Apps,0.03,16.25
1122,32,IDFC Bank Apps,2.7,534.56
1123,33,India Post Payments Bank Apps,2.95,321.14
1124,34,Indian Bank Apps,0.11,42.26
1125,35,Indian Overseas Bank Apps,0.01,1.62
1126,36,IndusInd Bank Apps,1.03,2252.3
1127,37,Jammu and Kashmir Bank Apps,0.01,2.15
1128,38,Janata Sahakari Bank Apps,0.01,4.51
1129,39,Jio Payments Bank Apps,2.27,129.5
1130,40,Jupiter,1.32,164.8
1131,41,Karnataka Bank Apps,0.3,37.96
1132,42,Karur Vysya Bank Apps,0.04,18.29
1133,43,Kotak Mahindra Bank Apps,7.92,1587.51
1134,44,MakeMyTrip,0.1,47.1
1135,45,MI Pay,0.24,36.02
1136,46,Mobikwik,3.6,739.25
1137,47,NSDL Payments Bank Apps,0.02,2.28
1138,48,Paytm Payments Bank App,837.14,95650.36
1139,49,PhonePe,2527.15,471401.26
1140,50,Punjab National Bank Apps,0.09,46.64
1141,51,Punjab Sind Bank Apps,0.01,3.8
1142,52,RBL Bank Apps,0.46,126.75
1143,53,Samsung Pay,3.73,473.5
1144,54,South Indian Bank Apps,0.13,44.63
1145,55,Standard Chartered Bank Apps,0.13,69.84
1146,56,State Bank of India Apps,4.01,2130.56
1147,57,SuperPay,0.1,0.64
