,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
1148,58,UCO Bank Apps,0.19,40.88
1149,59,Ultracash,0.03,1.12
1150,60,Union Bank Apps,0.41,197.01
1151,61,Utkarsh Small Finance Bank Apps,0.01,3.9
1152,62,WhatsApp,2.54,239.78
1153,63,Yes Bank Apps,35.25,8746.74
1154,64,YuvaPay,0.06,105.39
1155,65,Others,0.02,8.11
1156,0,Airtel Payments Bank Apps,10.66,761.51
1157,1,Allahabad Bank Apps,0.03,8.33
1158,2,Amazon Pay,50.56,5360.9
1159,3,AU Small Finance Bank Apps,0.62,186.48
1160,4,Axis Bank Apps,58.24,1976.67
1161,5,Bajaj Finserv,6.7,965.35
1162,6,Bajaj Finserv PPI,0.05,12.22
1163,7,Bajaj Markets,0.01,0.35
1164,8,Bandhan Bank Apps,0.01,1.5
1165,9,Bank of America Apps,0.01,2.07
1166,10,Bank of Baroda Apps,1.16,447.25
1167,11,Bank of India Apps,0.23,71.14
1168,12,Bank of Maharashtra Apps,0.06,21.29
1169,13,BHIM,23.68,7498.24
1170,14,Canara Bank Apps,1.39,374.43
1171,15,Central Bank of India Apps,0.36,83.56
1172,16,Citi Bank Apps,0.12,67.55
1173,17,City Union Bank Apps,0.06,18.93
1174,18,Cointab,0.04,19.07
1175,19,Cred,42.84,21056.31
1176,20,DBS Digibank Apps,0.41,177.88
1177,21,Deutsche Bank Apps,1.73,187.11
1178,22,Dhanlaxmi Bank Apps,0.01,3.21
1179,23,Equitas Small Finance Bank Apps,0.02,13.57
1180,24,Eroute,0.27,19.25
1181,25,Fampay PPI,9.49,124.59
1182,26,Fave,0.08,6.4
1183,27,Federal Bank Apps,5.25,648.51
1184,28,Fino Payments bank Apps,0.13,8.18
1185,29,Google Pay,3054.44,482896.69
1186,30,Groww,0.18,137.64
1187,31,HDFC Bank Apps,14.22,3644.88
1188,32,HSBC Bank Apps,0.14,89.71
1189,33,ICICI Bank Apps,41.59,17624.14
1190,34,IDBI Bank Apps,0.07,32.38
1191,35,IDFC Bank Apps,14.02,3306.18
1192,36,India Post Payments Bank Apps,4.44,667.69
1193,37,Indian Bank Apps,0.26,92.41
1194,38,Indian Overseas Bank Apps,0.02,4.47
1195,39,IndusInd Bank Apps,0.93,950.35
1196,40,Janata Sahakari Bank Apps,0.01,3.74
1197,41,Jio Payments Bank Apps,1.68,118.72
1198,42,Jupiter,2.66,358.12
1199,43,Karnataka Bank Apps,0.42,91.53
1200,44,Karur Vysya Bank Apps,0.04,15.84
1201,45,Kotak Mahindra Bank Apps,13.77,2854.65
1202,46,LivQuick PPI,0.01,0.64
1203,47,MakeMyTrip,0.05,23.5
1204,48,Mobikwik,3.64,937.98
1205,49,NSDL Payments Bank Apps,0.03,3.47
1206,50,Paytm Payments Bank App,1288.38,154430.4
1207,51,PhonePe,4076.32,707410.47
1208,52,Punjab National Bank Apps,0.43,110.59
1209,53,Punjab Sind Bank Apps,0.04,13.74
1210,54,RBL Bank Apps,1.88,545.98
1211,55,Samsung Pay,5.68,528.09
1212,56,South Indian Bank Apps,0.22,66.08
1213,57,Standard Chartered Bank Apps,0.15,94.14
1214,58,State Bank of India Apps,4.36,2011.65
1215,59,Tamilnad Mercantile Bank Apps,0.07,12.42
1216,60,TataNeu,0.12,15.0
1217,61,Transerv PPI,0.06,8.11
1218,62,UCO Bank Apps,0.36,116.66
1219,63,Ultracash,0.04,2.61
1220,64,Union Bank Apps,0.75,310.24
1221,65,Utkarsh Small Finance Bank Apps,0.02,6.35
1222,66,WhatsApp,13.35,1144.76
1223,67,Yes Bank Apps,31.47,10093.9
1224,68,Others,0.02,5.18
1225,0,Airtel Payments Bank Apps,4.06,429.12
1226,1,Allahabad Bank App,0.01,4.43
1227,2,Amazon Pay,58.35,4782.59
1228,3,AU Small Finance Bank App,0.04,20.29
1229,4,Axis Bank Apps,68.9,806.31
1230,5,Bajaj Finserv,0.01,0.77
1231,6,Bank of Baroda Apps,0.54,230.89
1232,7,Bank of India App,0.01,5.23
1233,8,Bank of Maharashtra App,0.02,6.18
1234,9,BHIM,21.02,6776.2
1235,10,Canara Bank App,0.09,45.92
1236,11,Central Bank of India App,0.1,42.18
1237,12,Citi Bank App,0.08,70.14
1238,13,Cointab,0.1,35.72
1239,14,Cred,5.65,6142.78
1240,15,DBS Digibank App,0.47,160.73
1241,16,Dena Bank App,0.02,20.9
1242,17,Deutsche Bank App,0.21,14.73
1243,18,Federal Bank App,0.17,38.99
1244,19,Fino Payments bank App,0.01,1.23
1245,20,Google Pay,880.59,187136.95
1246,21,HDFC Bank Apps,1.56,274.77
1247,22,HSBC Bank App,0.06,35.68
1248,23,ICICI Bank Apps,13.16,4514.11
1249,24,IDBI Bank App,0.02,10.36
1250,25,IDFC Bank App,0.15,72.34
1251,26,India Post Payments Bank App,1.29,178.52
1252,27,Indian Bank App,0.06,26.84
1253,28,IndusInd Bank App,3.12,433.37
1254,29,Jio Payments Bank App,0.68,40.92
1255,30,Karnataka Bank App,0.1,20.74
1256,31,Karur Vysya Bank App,0.02,11.59
1257,32,Kotak Mahindra Bank Apps,2.37,427.4
1258,33,MakeMy Trip,0.03,11.47
1259,34,MI Pay,0.37,55.17
1260,35,Mobikwik,3.18,467.11
1261,36,NSDL Payments Bank App,0.01,0.58
1262,37,Paytm Payments Bank App,343.81,43741.16
1263,38,PhonePe,1149.84,234123.57
1264,39,Punjab National Bank App,0.11,55.51
1265,40,RBL Bank App,0.12,56.21
1266,41,Samsung Pay,1.36,302.68
1267,42,South Indian Bank App,0.05,19.67
1268,43,Standard Chartered Bank App,0.06,36.73
1269,44,State Bank of India Apps,3.69,2079.32
1270,45,UCO Bank App,0.08,19.5
1271,46,Ultracash,1.15,142.92
1272,47,Union Bank Apps,0.28,110.65
1273,48,WhatsApp,0.51,48.15
1274,49,Yes Bank Apps,21.08,4486.54
1275,50,YuvaPay,2.32,73.16
1276,51,Others,0.03,12.47
1277,0,Airtel Payments Bank Apps,6.11,486.62
1278,1,Allahabad Bank Apps,0.02,6.25
1279,2,Amazon Pay,74.83,6954.18
1280,3,AU Small Finance Bank Apps,0.35,107.22
1281,4,Axis Bank Apps,58.66,1425.16
1282,5,Bajaj Finserv,0.79,58.53
1283,6,Bank of Baroda Apps,0.88,406.79
1284,7,Bank of India Apps,0.12,40.04
1285,8,Bank of Maharashtra Apps,0.06,16.47
1286,9,BHIM,26.57,9559.66
1287,10,Canara Bank Apps,0.33,114.09
1288,11,Central Bank of India Apps,0.15,55.4
1289,12,Citi Bank Apps,0.13,78.71
1290,13,City Union Bank Apps,0.03,10.06
1291,14,Cointab,0.06,23.77
1292,15,Cred,13.89,18174.61
1293,16,DBS Digibank Apps,0.47,186.33
1294,17,Deutsche Bank Apps,1.64,116.55
1295,18,Dhanlaxmi Bank Apps,0.01,3.35
1296,19,Fave,0.1,6.12
1297,20,Federal Bank Apps,3.42,474.12
1298,21,Fino Payments bank Apps,0.04,3.83
1299,22,Finserv Markets,0.01,1.01
1300,23,Finshell Pay,0.09,4.68
1301,24,GoIbibo,0.01,2.41
1302,25,Google Pay,2079.92,365989.27
1303,26,Groww,0.51,335.28
1304,27,HDFC Bank Apps,6.95,1981.11
1305,28,HSBC Bank Apps,0.1,63.17
1306,29,ICICI Bank Apps,37.59,11056.9
1307,30,IDBI Bank Apps,0.03,18.48
1308,31,IDFC Bank Apps,4.75,626.34
1309,32,India Post Payments Bank Apps,3.1,351.88
1310,33,Indian Bank Apps,0.16,53.13
1311,34,Indian Overseas Bank Apps,0.01,2.35
1312,35,IndusInd Bank Apps,1.01,1711.21
1313,36,Janata Sahakari Bank Apps,0.01,4.79
1314,37,Jio Payments Bank Apps,2.08,127.88
1315,38,Jupiter,1.79,215.44
1316,39,Jupiter Edge (LivQuick PPI),0.1,5.74
1317,40,Karnataka Bank Apps,0.33,40.34
1318,41,Karur Vysya Bank Apps,0.04,17.69
1319,42,Kotak Mahindra Bank Apps,8.5,1885.0
1320,43,MakeMyTrip,0.09,43.26
1321,44,MI Pay,0.2,33.9
1322,45,Mobikwik,2.46,397.7
1323,46,NSDL Payments Bank Apps,0.02,2.39
1324,47,Paytm Payments Bank App,887.45,108276.78
1325,48,PhonePe,2778.75,511028.81
1326,49,Punjab National Bank Apps,0.09,43.77
1327,50,Punjab Sind Bank Apps,0.01,6.39
1328,51,RBL Bank Apps,0.38,125.39
1329,52,Samsung Pay,4.11,490.3
1330,53,South Indian Bank Apps,0.14,49.73
1331,54,Standard Chartered Bank Apps,0.13,70.48
1332,55,State Bank of India Apps,4.18,2195.66
1333,56,Tamilnad Mercantile Bank Apps,0.01,1.13
1334,57,TataNeu,0.22,30.33
1335,58,UCO Bank Apps,0.22,46.39
1336,59,Ultracash,0.05,4.4
1337,60,Union Bank Apps,0.45,211.85
1338,61,Utkarsh Small Finance Bank Apps,0.01,4.43
1339,62,WhatsApp,3.48,294.98
1340,63,Yes Bank Apps,39.69,11760.16
1341,64,YuvaPay,0.04,88.95
1342,65,Others,0.03,10.7
1343,0,Airtel Payments Bank Apps,9.17,627.17
1344,1,Allahabad Bank Apps,0.03,8.87
1345,2,Amazon Pay,57.08,5772.68
1346,3,AU Small Finance Bank Apps,0.65,193.87
1347,4,Axis Bank Apps,47.38,1916.44
1348,5,Bajaj Finserv,9.12,1189.82
1349,6,Bank of Baroda Apps,1.11,412.03
1350,7,Bank of India Apps,0.22,69.87
1351,8,BHIM,22.96,7209.87
1352,9,BPAYWALLET,0.06,9.65
1353,10,Canara Bank Apps,1.48,431.27
1354,11,Central Bank of India Apps,0.43,95.58
1355,12,Citi Bank Apps,0.09,55.38
1356,13,City Union Bank Apps,0.06,20.02
1357,14,Cointab,0.01,4.24
1358,15,Cred,61.04,23426.74
1359,16,DBS Digibank Apps,0.42,174.75
1360,17,Deutsche Bank Apps,1.89,174.27
1361,18,DHANI,0.04,7.55
1362,19,Dhanlaxmi Bank Apps,0.01,2.93
1363,20,Equitas Small Finance Bank Apps,0.03,16.31
1364,21,FAM,13.78,166.5
1365,22,Fave,0.02,1.68
1366,23,Federal Bank Apps,5.12,643.62
1367,24,Fino Payments bank Apps,0.09,6.6
1368,25,Google Pay,3274.69,497748.17
1369,26,Groww,0.47,287.97
1370,27,HDFC Bank Apps,16.07,3982.69
1371,28,HSBC Bank Apps,0.14,87.5
1372,29,ICICI Bank Apps,43.92,17101.09
1373,30,IDBI Bank Apps,0.08,34.64
1374,31,IDFC Bank Apps,8.56,1696.01
1375,32,India Post Payments Bank Apps,5.04,775.77
1376,33,Indian Bank Apps,0.28,84.07
1377,34,Indian Overseas Bank Apps,0.04,10.5
1378,35,IndusInd Bank Apps,0.81,886.1
1379,36,Jammu and Kashmir Bank Apps,0.01,2.0
1380,37,Jio Payments Bank Apps,1.56,119.8
1381,38,Jupiter,2.94,415.04
1382,39,Akudo & Muvin (Livquik),0.18,6.62
1383,40,Karnataka Bank Apps,0.63,127.13
1384,41,Karur Vysya Bank Apps,0.04,13.65
1385,42,Kotak Mahindra Bank Apps,16.31,3139.05
1386,43,MakeMyTrip,0.02,8.01
1387,44,Mobikwik,3.59,997.92
1388,45,NSDL Payments Bank Apps,0.02,3.28
1389,46,OMNI,0.39,10.1
1390,47,Paytm Payments Bank App,1342.28,164843.79
1391,48,PhonePe,4499.2,757276.68
1392,49,PINELABS,0.06,3.25
1393,50,Punjab National Bank Apps,1.1,177.69
1394,51,Punjab Sind Bank Apps,0.04,13.71
1395,52,RBL Bank Apps,1.24,489.36
1396,53,RBLBANK,0.01,0.06
1397,54,Samsung Pay,5.83,535.16
1398,55,slice,0.83,194.68
1399,56,South Indian Bank Apps,0.25,71.46
1400,57,Standard Chartered Bank Apps,0.15,91.48
1401,58,State Bank of India Apps,4.48,1969.95
1402,59,Tamilnad Mercantile Bank Apps,0.07,14.83
1403,60,TataNeu,0.15,19.28
1404,61,UCO Bank Apps,0.36,118.26
1405,62,Ultracash,0.01,1.13
1406,63,Union Bank Apps,0.76,306.93
1407,64,Utkarsh Small Finance Bank Apps,0.02,6.81
1408,65,WhatsApp,15.98,1477.06
1409,66,Yes Bank Apps,42.65,13006.24
1410,67,Zomato,0.01,0.43
1411,68,Others,0.03,10.98
1412,0,Airtel Payments Bank Apps,15.9,5554.63
1413,1,Allahabad Bank App,0.02,6.28
1414,2,Amazon Pay,71.04,6041.96
1415,3,AU Small Finance Bank App,0.17,67.04
1416,4,Axis Bank Apps,70.83,920.76
1417,5,Bajaj Finserv,0.06,4.1
1418,6,Bank of Baroda Apps,0.75,329.77
1419,7,Bank of India App,0.03,13.54
1420,8,Bank of Maharashtra App,0.04,10.84
1421,9,BHIM,25.23,8237.22
1422,10,Canara Bank App,0.21,78.32
1423,11,Central Bank of India App,0.11,43.57
1424,12,Citi Bank App,0.09,77.41
1425,13,City Union Bank App,0.01,3.85
1426,14,Cointab,0.64,112.28
1427,15,Cred,9.03,12277.85
1428,16,DBS Digibank App,0.52,185.2
1429,17,Dena Bank App,0.02,24.11
1430,18,Deutsche Bank App,0.98,115.42
1431,19,Dhanlaxmi Bank App,0.01,2.37
1432,20,Federal Bank App,0.47,91.94
1433,21,Fino Payments bank App,0.02,1.81
1434,22,Finshell Pay,0.05,2.19
1435,23,Google Pay,1447.84,283357.99
1436,24,HDFC Bank Apps,3.87,1030.59
1437,25,HSBC Bank App,0.08,46.98
1438,26,ICICI Bank Apps,29.14,7246.75
1439,27,IDBI Bank App,0.03,13.31
1440,28,IDFC Bank App,0.64,237.83
1441,29,India Post Payments Bank App,2.3,286.07
1442,30,Indian Bank App,0.09,37.77
1443,31,IndusInd Bank App,1.1,1407.31
1444,32,Jio Payments Bank App,1.38,89.68
1445,33,Jupiter Money,0.55,102.84
1446,34,Karnataka Bank App,0.22,27.68
1447,35,Karur Vysya Bank App,0.03,15.46
1448,36,Kotak Mahindra Bank Apps,5.78,1035.67
1449,37,MakeMy Trip,0.12,45.04
1450,38,MI Pay,0.33,47.27
1451,39,Mobikwik,5.18,1478.95
1452,40,NSDL Payments Bank App,0.01,1.11
1453,41,Paytm Payments Bank App,631.3,81403.37
1454,42,PhonePe,1911.21,365044.32
1455,43,Punjab National Bank App,0.07,31.14
1456,44,RBL Bank App,0.25,81.95
1457,45,Samsung Pay,2.8,412.13
1458,46,South Indian Bank App,0.11,36.91
1459,47,Standard Chartered Bank App,0.09,53.87
1460,48,State Bank of India Apps,3.72,1990.21
1461,49,UCO Bank App,0.12,30.41
1462,50,Ultracash,2.13,162.44
1463,51,Union Bank Apps,0.43,178.53
1464,52,WhatsApp,2.11,149.38
1465,53,Yes Bank Apps,24.34,6171.08
1466,54,YuvaPay,0.04,66.62
1467,55,Other Apps,0.03,14.98
1468,0,Airtel Payments Bank Apps,8.73,671.09
1469,1,Allahabad Bank Apps,0.03,8.98
1470,2,Amazon Pay,59.76,5873.36
1471,3,Andhra Bank Apps,0.01,1.53
1472,4,AU Small Finance Bank Apps,0.53,160.3
1473,5,Axis Bank Apps,77.77,1121.24
1474,6,Bajaj Finserv,3.9,464.41
1475,7,Bandhan Bank Apps,0.01,1.21
1476,8,Bank of Baroda Apps,1.26,455.8
1477,9,Bank of India Apps,0.2,57.87
1478,10,Bank of Maharashtra Apps,0.07,18.29
1479,11,BHIM,25.01,8144.83
1480,12,Canara Bank Apps,0.86,232.51
1481,13,Central Bank of India Apps,0.27,63.31
1482,14,Citi Bank Apps,0.13,60.76
1483,15,City Union Bank Apps,0.04,12.58
1484,16,Cointab,0.03,13.87
1485,17,Cred,25.63,18599.72
1486,18,DBS Digibank Apps,0.41,169.55
1487,19,Deutsche Bank Apps,1.3,104.21
1488,20,Dhanlaxmi Bank Apps,0.01,2.75
1489,21,Equitas Small Finance Bank Apps,0.02,9.82
1490,22,Fampay PPI,4.88,64.75
1491,23,Fave,0.05,2.83
1492,24,Federal Bank Apps,4.11,553.97
1493,25,Fino Payments bank Apps,0.1,6.61
1494,26,Google Pay,2541.14,409714.75
1495,27,Groww,0.05,36.46
1496,28,HDFC Bank Apps,10.66,2758.45
1497,29,HSBC Bank Apps,0.12,72.58
1498,30,ICICI Bank Apps,44.07,14750.8
1499,31,IDBI Bank Apps,0.06,24.78
1500,32,IDFC Bank Apps,10.47,903.37
1501,33,India Post Payments Bank Apps,4.66,589.14
1502,34,Indian Bank Apps,0.23,67.2
1503,35,Indian Overseas Bank Apps,0.01,2.48
1504,36,IndusInd Bank Apps,1.2,1224.13
1505,37,Janata Sahakari Bank Apps,0.01,3.99
1506,38,Jio Payments Bank Apps,1.31,96.23
1507,39,Jupiter,2.16,275.52
1508,40,Karnataka Bank Apps,0.4,74.82
1509,41,Karur Vysya Bank Apps,0.04,16.23
1510,42,Kotak Mahindra Bank Apps,10.93,2304.9
1511,43,MakeMyTrip,0.02,7.69
1512,44,Mobikwik,3.46,762.67
1513,45,NSDL Payments Bank Apps,0.02,2.7
1514,46,Paytm Payments Bank App,1081.47,128805.91
1515,47,PhonePe,3418.75,591327.61
1516,48,Punjab National Bank Apps,0.16,60.47
1517,49,Punjab Sind Bank Apps,0.03,8.97
1518,50,RBL Bank Apps,1.18,270.81
1519,51,Samsung Pay,5.07,506.82
1520,52,Slash,0.01,0.28
1521,53,slice,0.51,206.66
1522,54,South Indian Bank Apps,0.2,58.1
1523,55,Standard Chartered Bank Apps,0.55,92.57
1524,56,State Bank of India Apps,4.07,1876.46
1525,57,Tamilnad Mercantile Bank Apps,0.07,10.48
1526,58,TataNeu,0.14,17.17
1527,59,TJSB Bank Apps,0.01,2.25
1528,60,UCO Bank Apps,0.26,78.38
1529,61,Ultracash,0.02,0.27
1530,62,Union Bank Apps,1.11,313.3
1531,63,Utkarsh Small Finance Bank Apps,0.02,7.1
1532,64,WhatsApp,9.25,769.29
1533,65,Yes Bank Apps,43.58,14902.42
1534,66,Others,0.02,4.07
1535,0,Airtel Payments Bank Apps,14.31,4746.79
1536,1,Allahabad Bank App,0.02,6.35
1537,2,Amazon Pay,68.82,6286.6
1538,3,AU Small Finance Bank App,0.16,62.15
1539,4,Axis Bank Apps,69.28,1005.7
1540,5,Bajaj Finserv,0.06,4.3
1541,6,Bank of Baroda Apps,0.8,344.85
1542,7,Bank of India App,0.03,12.88
1543,8,Bank of Maharashtra App,0.04,10.5
1544,9,BHIM,27.27,8513.82
1545,10,Canara Bank App,0.21,77.06
1546,11,Central Bank of India App,0.12,45.48
1547,12,Citi Bank App,0.11,81.21
1548,13,City Union Bank App,0.01,3.95
1549,14,Cointab,0.45,84.71
1550,15,Cred,9.73,12561.25
1551,16,DBS Digibank App,0.58,198.18
1552,17,Dena Bank App,0.02,27.43
1553,18,Deutsche Bank App,0.85,99.23
1554,19,Federal Bank App,0.44,90.5
1555,20,Fino Payments bank App,0.02,1.75
1556,21,Finshell Pay,0.03,1.26
1557,22,Google Pay,1451.93,287491.46
1558,23,HDFC Bank Apps,5.02,1082.99
1559,24,HSBC Bank App,0.08,53.39
1560,25,ICICI Bank Apps,29.27,6329.63
1561,26,IDBI Bank App,0.03,14.22
1562,27,IDFC Bank App,0.62,231.02
1563,28,India Post Payments Bank App,2.39,291.7
1564,29,Indian Bank App,0.09,38.84
1565,30,IndusInd Bank App,1.05,1014.56
1566,31,Jio Payments Bank App,1.33,85.75
1567,32,Jupiter Money,0.29,60.0
1568,33,Karnataka Bank App,0.2,25.71
1569,34,Karur Vysya Bank App,0.03,15.4
1570,35,Kotak Mahindra Bank Apps,5.38,944.5
1571,36,MakeMy Trip,0.13,48.4
1572,37,MI Pay,0.37,54.77
1573,38,Mobikwik,4.08,1070.32
1574,39,Paytm Payments Bank App,632.18,80508.04
1575,40,PhonePe,1937.57,365845.39
1576,41,Punjab National Bank App,0.08,32.06
1577,42,RBL Bank App,0.22,84.08
1578,43,Samsung Pay,2.81,428.41
1579,44,South Indian Bank App,0.11,37.4
1580,45,Standard Chartered Bank App,0.1,56.38
1581,46,State Bank of India Apps,3.98,2089.18
1582,47,UCO Bank App,0.11,27.95
1583,48,Ultracash,2.32,170.32
1584,49,Union Bank Apps,0.66,223.98
1585,50,WhatsApp*,2.6,104.19
1586,51,Yes Bank Apps,28.41,7660.27
1587,52,YuvaPay,0.04,61.62
1588,53,Other Apps,0.05,21.51
1589,0,Airtel Payments Bank Apps,9.44,775.19
1590,1,Allahabad Bank Apps,0.03,9.33
1591,2,Amazon Pay,56.42,6060.5
1592,3,AU Small Finance Bank Apps,0.54,161.99
1593,4,Axis Bank Apps,59.99,1555.84
1594,5,Bajaj Finserv,4.12,472.71
1595,6,Bank of Baroda Apps,1.23,466.23
1596,7,Bank of India Apps,0.2,59.97
1597,8,Bank of Maharashtra Apps,0.07,20.1
1598,9,BHIM,25.49,8523.17
1599,10,Canara Bank Apps,0.81,219.07
1600,11,Central Bank of India Apps,0.3,71.66
1601,12,Citi Bank Apps,0.09,66.83
1602,13,City Union Bank Apps,0.04,12.85
1603,14,Cointab,0.03,11.67
1604,15,Cred,21.28,20259.7
1605,16,DBS Digibank Apps,0.43,179.26
1606,17,Deutsche Bank Apps,1.26,111.93
1607,18,Dhanlaxmi Bank Apps,0.01,3.21
1608,19,Equitas Small Finance Bank Apps,0.02,8.28
1609,20,Fampay PPI,4.06,56.79
1610,21,Fave,0.04,2.53
1611,22,Federal Bank Apps,4.19,574.92
1612,23,Fino Payments bank Apps,0.09,6.46
1613,24,GoIbibo,0.01,1.84
1614,25,Google Pay,2496.42,420978.38
1615,26,HDFC Bank Apps,11.96,2997.29
1616,27,HSBC Bank Apps,0.14,77.8
1617,28,ICICI Bank Apps,41.61,14529.52
1618,29,IDBI Bank Apps,0.06,25.92
1619,30,IDFC Bank Apps,9.98,888.45
1620,31,India Post Payments Bank Apps,4.7,630.43
1621,32,Indian Bank Apps,0.23,68.97
1622,33,Indian Overseas Bank Apps,0.01,4.72
1623,34,IndusInd Bank Apps,1.15,1516.68
1624,35,Janata Sahakari Bank Apps,0.01,4.8
1625,36,Jio Payments Bank Apps,1.38,98.87
1626,37,Jupiter,2.18,280.43
1627,38,Karnataka Bank Apps,0.43,76.62
1628,39,Karur Vysya Bank Apps,0.04,17.62
1629,40,Kotak Mahindra Bank Apps,11.46,2426.65
1630,41,MakeMyTrip,0.07,31.85
1631,42,Mobikwik,3.28,708.12
1632,43,NSDL Payments Bank Apps,0.02,3.13
1633,44,Paytm Payments Bank App,1109.6,133620.54
1634,45,PhonePe,3452.87,593759.02
1635,46,Punjab National Bank Apps,0.15,62.77
1636,47,Punjab Sind Bank Apps,0.02,8.05
1637,48,RBL Bank Apps,1.08,245.16
1638,49,Samsung Pay,5.09,554.33
1639,50,South Indian Bank Apps,0.19,58.2
1640,51,Standard Chartered Bank Apps,0.22,88.92
1641,52,State Bank of India Apps,4.1,1936.72
1642,53,Tamilnad Mercantile Bank Apps,0.06,9.81
1643,54,TataNeu,0.14,18.3
1644,55,TJSB Bank Apps,0.01,1.86
1645,56,UCO Bank Apps,0.28,80.38
1646,57,Ultracash,0.02,0.24
1647,58,Union Bank Apps,0.82,290.75
1648,59,Utkarsh Small Finance Bank Apps,0.02,6.31
1649,60,WhatsApp,8.38,708.56
1650,61,Yes Bank Apps,55.94,16070.88
1651,62,Others,0.02,5.87
1652,0,Airtel Payments Bank Apps,11.52,3759.12
1653,1,Allahabad Bank App,0.02,5.34
1654,2,Amazon Pay,62.9,5267.79
1655,3,AU Small Finance Bank App,0.13,46.49
1656,4,Axis Bank Apps,59.13,832.73
1657,5,Bajaj Finserv,0.04,3.03
1658,6,Bank of Baroda Apps,0.73,293.05
1659,7,Bank of India App,0.03,12.45
1660,8,Bank of Maharashtra App,0.04,7.8
1661,9,BHIM,25.36,7538.58
1662,10,Canara Bank App,0.16,51.88
1663,11,Central Bank of India App,0.13,47.35
1664,12,Citi Bank App,0.12,68.42
1665,13,City Union Bank App,0.01,3.32
1666,14,Cointab,0.34,69.81
1667,15,Cred,7.74,9614.36
1668,16,DBS Digibank App,0.55,180.79
1669,17,Dena Bank App,0.02,24.37
1670,18,Deutsche Bank App,0.76,70.24
1671,19,Dhanlaxmi Bank App,0.01,2.86
1672,20,Federal Bank App,0.39,79.44
1673,21,Fino Payments bank App,0.02,1.63
1674,22,Finshell Pay,0.02,0.72
1675,23,Goibibo,0.01,2.62
1676,24,Google Pay,1294.56,250393.65
1677,25,HDFC Bank Apps,3.14,772.08
1678,26,HSBC Bank App,0.08,43.02
1679,27,ICICI Bank Apps,22.11,6579.65
1680,28,IDBI Bank App,0.02,12.0
1681,29,IDFC Bank App,0.49,181.96
1682,30,India Post Payments Bank App,2.28,267.94
1683,31,Indian Bank App,0.08,35.34
1684,32,IndusInd Bank App,0.33,532.43
1685,33,Jio Payments Bank App,1.24,74.89
1686,34,Jupiter Money,0.13,29.3
1687,35,Karnataka Bank App,0.16,18.64
1688,36,Karur Vysya Bank App,0.03,14.14
1689,37,Kotak Mahindra Bank Apps,4.31,771.05
1690,38,MakeMy Trip,0.08,25.67
1691,39,MI Pay,0.36,51.29
1692,40,Mobikwik,3.2,687.94
1693,41,NSDL Payments Bank App,0.01,0.84
1694,42,Paytm Payments Bank App,543.55,61417.53
1695,43,PhonePe,1653.19,306437.37
1696,44,Punjab National Bank App,0.07,25.07
1697,45,Punjab Sindh Bank App,0.01,2.7
1698,46,RBL Bank App,0.17,65.95
1699,47,Samsung Pay,2.37,371.1
1700,48,South Indian Bank App,0.09,31.18
1701,49,Standard Chartered Bank App,0.08,45.86
1702,50,State Bank of India Apps,3.77,1874.58
1703,51,UCO Bank App,0.1,23.44
1704,52,Ultracash,2.02,163.57
1705,53,Union Bank Apps,0.41,155.2
1706,54,WhatsApp,1.01,62.31
1707,55,Yes Bank Apps,23.03,4994.33
1708,56,YuvaPay,0.04,46.94
1709,57,Other Apps,0.03,11.75
